authoritative_result_file,scope,row_level_log_columns_or_companion,provenance_status
experiment_tracking/mprime_validation_ipc_scale_v1/validation_test_checkpoint_audit.csv,MPrime corrected checkpoint audit,training_log;policy_log or job/path columns in file,complete_inline
experiment_tracking/cluster_workload_latest.csv,current live Slurm state,scheduler_source,complete_inline_dynamic
experiment_tracking/cluster_workload_summary_latest.csv,current grouped Slurm state,experiment_tracking/cluster_workload_latest.csv,complete_companion_dynamic
experiment_tracking/advisor_figures/pw_kmin3_30min_sensitivity.csv,PW Kmin3 30-minute derived presentation table,experiment_tracking/mcts_progressive_widening_sensitivity/kmin3_success_runtime_instances.csv;experiment_tracking/mcts_progressive_widening_sensitivity/results.csv,complete_companion
experiment_tracking/drone_endpoint_mcts_summary.csv,Drone endpoint MCTS aggregate,experiment_tracking/experiment_results.csv,complete_companion
experiment_tracking/evaluation_coverage_plan.csv,evaluation coverage registry rather than an observed score,experiment_tracking/experiment_registry.csv,non_result_registry
experiment_tracking/stage2_mcts_gap_decisions_20260902.csv,Stage-2 MCTS design-gap decision registry,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv,non_result_registry
experiment_tracking/main_val_stage2_drone_mcts_summary_20260901.csv,Drone validation-led Stage2 policy/MCTS aggregate,experiment_tracking/main_val_stage2_drone_mcts_gap.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv,complete_companion
experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_summary_10seed.csv,Counters Stage2 narrow aggregate,experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_terminal_results.csv,complete_companion
experiment_tracking/mcts_determinism_audit/followup_candidates.csv,determinism candidate registry rather than observed result,experiment_tracking/mcts_determinism_audit/followup_results.csv,non_result_registry
experiment_tracking/mcts_horizon_pilot/difference_audit.csv,Drone Horizon membership difference audit,experiment_tracking/mcts_horizon_pilot/results.csv,complete_companion
experiment_tracking/mcts_progressive_widening_cross_domain/comparative_summary_20260901_1022.csv,earlier PW screen presentation table,experiment_tracking/mcts_progressive_widening_cross_domain/results.csv;experiment_tracking/mcts_progressive_widening_cross_domain/terminal_results_20260901.csv,complete_companion
experiment_tracking/mcts_progressive_widening_pilot/summary.csv,original Drone PW aggregate,experiment_tracking/mcts_progressive_widening_pilot/results.csv,complete_companion
experiment_tracking/mcts_progressive_widening_sensitivity/kmin3_runtime_summary.csv,PW Kmin3 runtime aggregate,experiment_tracking/mcts_progressive_widening_sensitivity/kmin3_success_runtime_instances.csv;experiment_tracking/mcts_progressive_widening_sensitivity/kmin3_runtime_jobs.csv,complete_companion
experiment_tracking/mprime_validation_ipc_scale_v1/anchor_selection_corrected_frozen_20260901.csv,MPrime corrected anchor selection,experiment_tracking/mprime_validation_ipc_scale_v1/anchor_rescore_status_20260901_1022.csv;experiment_tracking/mprime_validation_ipc_scale_v1/anchor_tuning_manifest.csv,complete_companion
experiment_tracking/mprime_validation_ipc_scale_v1/validation_test_agreement_summary.csv,MPrime validation/test rank summary,experiment_tracking/mprime_validation_ipc_scale_v1/validation_test_checkpoint_audit.csv,complete_companion
experiment_tracking/mprime_validation_ipc_scale_v1/validation_led_stage2_selected_results_20260903.csv,MPrime validation-led Stage1-selected to Stage2-selected seed results,source_stage1_evaluation_log;source_stage2_training_log;source_stage2_evaluation_log,complete_inline
experiment_tracking/mprime_validation_ipc_scale_v1/validation_led_stage2_selected_statistics_20260903.csv,MPrime validation-led Stage1-selected to Stage2-selected paired statistics,experiment_tracking/mprime_validation_ipc_scale_v1/validation_led_stage2_selected_results_20260903.csv,complete_companion
experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage1_seeds_20260903.csv,MPrime Stage1 validation-adequacy lineage metrics,experiment_tracking/mprime_validation_ipc_scale_v1/validation_test_checkpoint_audit.csv,complete_companion
experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage1_summary_20260903.csv,MPrime Stage1 validation-adequacy aggregate,experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage1_seeds_20260903.csv,complete_companion
experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage2_checkpoints_20260903.csv,MPrime Stage2 validation/test checkpoint audit,checkpoint;training_log;policy_log,complete_inline
experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage2_seeds_20260903.csv,MPrime Stage2 validation-adequacy lineage metrics,experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage2_checkpoints_20260903.csv,complete_companion
experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage2_summary_20260903.csv,MPrime Stage2 validation-adequacy aggregate,experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage2_seeds_20260903.csv,complete_companion
experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage2_missing_20260903.csv,MPrime Stage2 missing checkpoint-evaluation identity,checkpoint;training_log,complete_inline_failure_gap
experiment_tracking/four_domain_preservation/tpp_off_continuation_provenance_20260903.csv,TPP terminal-led Stage2 continuation identity,validation_selected_checkpoint;final_checkpoint;original_training_log;continuation_training_log,complete_inline
experiment_tracking/stage2_policy_mcts_comparison_20260901.csv,older Stage2 policy/MCTS aggregate,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv,complete_companion
experiment_tracking/stage2_epoch0_seed_audit_20260902.csv,Stage2 post-first-update seed results,source_stage1_training_log;source_stage1_evaluation_log;source_stage2_training_log;source_epoch0_evaluation_log,complete_inline
experiment_tracking/stage2_epoch0_summary_20260902.csv,Stage2 post-first-update aggregate statistics,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv,complete_companion
experiment_tracking/mcts_horizon_binding/horizon_completion_records_20260902.csv,Counters binding-horizon terminal-instance records,source_evaluation_log;source_completion_ledger,complete_inline
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv,PW70 correction terminal-job reconciliation,source_log,complete_inline
experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv,raw current FO terminal-led Stage2 MCTS reconciliation,source_evaluation_log;source_training_log,complete_inline
experiment_tracking/fo_terminal_stage2_mcts_terminal_results_20260903.csv,terminal FO Stage2 matched policy/MCTS seed results,source_training_log;source_policy_log;source_mcts_log;source_checkpoint,complete_inline
experiment_tracking/fo_terminal_stage2_mcts_terminal_summary_20260903.csv,terminal FO Stage2 provisional aggregate,experiment_tracking/fo_terminal_stage2_mcts_terminal_results_20260903.csv,complete_companion
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_terminal_20260903.csv,PW70 confirmatory terminal matched results,source_checkpoint;source_evaluation_log;source_manifest,complete_inline
experiment_tracking/preserve3_terminal_led/terminal_led_selected_summary_20260903.csv,PRESERVE-3 terminal-led aggregate,experiment_tracking/preserve3_terminal_led/terminal_led_selected_seed_results_20260903.csv,complete_companion_live
experiment_tracking/preserve3_terminal_led/delivery_policy_retry_results_20260904.csv,Delivery exact curve/endpoint recovery,source_log;source_checkpoint_ref;slurm_job_id,complete_inline
experiment_tracking/preserve3_terminal_led/tpp_on_policy_results_latest_20260904.csv,TPP/on original policy evaluations,source_log;slurm_job_id,complete_inline_live
experiment_tracking/preserve3_terminal_led/tpp_on_policy_node_retry_results_20260904.csv,TPP/on exact retry results,source_log;slurm_job_id,complete_inline_live
experiment_tracking/preserve3_terminal_led/terminal_stage2_tpp_off_policy_results_20260904.csv,TPP/off original policy evaluations,source_log;slurm_job_id,complete_inline
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_cutoffs_20260904.csv,PW70 correction 30m/2h/6h results,source_log;experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_instances_20260904.csv,complete_inline_live
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_statistics_20260904.csv,PW70 five-seed completed-cell statistics,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_seed_results_20260904.csv,complete_companion
experiment_tracking/mcts_progressive_widening_cross_domain/counters_divergence_cutoffs_20260904.csv,Counters exact-snapshot PW20/PW70 live cutoffs,source_log;experiment_tracking/mcts_progressive_widening_cross_domain/counters_divergence_instances_20260904.csv,complete_inline_live
experiment_tracking/stage2_mcts_branch_coverage_20260904.csv,Current Stage2 MCTS branch availability,row_level_provenance,complete_companion_live
experiment_tracking/preserve3_terminal_led/tpp_on_policy_node_retry2_results_20260904.csv,TPP/on exact second-retry results,source_log;slurm_job_id,complete_inline
experiment_tracking/preserve3_terminal_led/tpp_on_policy_node_retry3_results_20260904.csv,TPP/on exact third-retry results,source_log;slurm_job_id,complete_inline_live
experiment_tracking/preserve3_terminal_led/tpp_off_curve_node_retry_results_20260904.csv,TPP/off exact curve retry results,source_log;slurm_job_id,complete_inline_live
experiment_tracking/preserve3_terminal_led/tpp_off_policy_retry2_results_latest_20260904.csv,TPP/off exact endpoint retry results,source_log;slurm_job_id,complete_inline
experiment_tracking/stage2_mcts_branch_completion_current_results_20260904.csv,Current branch-completion job evidence,source_evaluation_log;job_id,complete_inline_live
experiment_tracking/mprime_validation_ipc_scale_v1/phase_b_readiness_20260904.csv,MPrime validation Phase-B readiness and submission gate,provenance,complete_inline_design
experiment_tracking/mprime_validation_ipc_scale_v1/mprime_mcts_table_gap_20260904.csv,MPrime policy-versus-MCTS table completion requirements,policy_provenance,complete_inline_planned
